date,mileage
2020-11-04,54646
2020-11-05,54748
2020-11-06,54849
2020-11-07,54970
2020-11-08,55159
2020-11-09,55269
2020-11-10,55368
2020-11-11,55474
2020-11-12,55586
2020-11-13,55689
2020-11-14,55801
2020-11-15,55960
2020-11-16,56067
2020-11-17,56151
2020-11-18,56256
2020-11-19,56351
2020-11-20,56442
2020-11-21,56516
2020-11-22,56666
2020-11-23,56804
2020-11-24,56906
2020-11-25,57041
2020-11-26,57163
2020-11-27,57277
2020-11-28,57375
2020-11-29,57525
2020-11-30,57635
2020-12-01,57742
2020-12-02,57863
2020-12-03,57976
2020-12-04,58086
2020-12-05,58205
2020-12-14,58390
2020-12-15,58553
2020-12-16,58714
2020-12-17,58817
2020-12-18,58915
2020-12-19,59031
2020-12-20,59147
2020-12-21,59255
2020-12-22,59352
2020-12-23,59490
2020-12-24,59624
2020-12-27,59749
2020-12-28,59864
2020-12-29,59971
2020-12-30,60061
2020-12-31,60173
2021-01-02,60286
2021-01-03,60432
2021-01-04,60546
2021-01-05,60636
2021-01-06,60736
2021-01-07,60836
2021-01-08,60955
2021-01-09,61043
2021-01-10,61161
2021-01-11,61274
2021-01-12,61428
2021-01-13,61542
2021-01-14,61659
2021-01-15,61823
2021-01-16,61906
2021-01-17,62068
2021-01-18,62234
2021-01-19,62353
2021-01-20,62466
2021-01-21,62582
2021-01-22,62706
2021-01-23,62844
2021-01-24,62961
2021-01-25,63122
2021-01-26,63228
2021-01-27,63349
2021-01-28,63470
2021-01-29,63571
2021-01-30,63667
2021-01-31,63782
2021-02-01,63954
2021-02-02,64044
2021-02-03,64135
2021-02-04,64252
2021-02-05,64351
2021-02-06,64473
2021-02-07,64583
2021-02-08,64732
2021-02-09,64813
2021-02-10,64912
2021-02-11,65037
2021-02-12,65146
2021-02-13,65242
2021-02-14,65384
2021-02-15,65534
2021-02-16,65638
2021-02-17,65741
2021-02-18,65848
2021-02-19,65954
2021-02-20,66047
2021-02-21,66158
2021-02-22,66304
2021-02-23,66406
2021-02-24,66534
2021-02-25,66640
2021-02-26,66774
2021-02-27,66884
2021-02-28,67014
2021-03-01,67165
2021-03-02,67271
2021-03-03,67394
2021-03-04,67515
2021-03-05,67603
2021-03-06,67745
2021-03-08,68031
2021-03-09,68162
2021-03-10,68257
2021-03-11,68427
2021-03-12,68520
2021-03-13,68703
2021-03-14,68853
2021-03-15,69069
2021-03-16,69247
2021-03-17,69395
2021-03-18,69513
2021-03-19,69607
2021-03-20,69758
2021-03-21,69911
2021-03-22,70083
2021-03-23,70230
2021-03-24,70435
2021-03-25,70628
2021-03-26,70808
2021-03-27,70969
2021-03-28,71120
2021-03-29,71257
2021-04-09,71407
2021-04-10,71516
2021-04-11,71822
2021-04-12,71640
2021-04-13,71986
2021-04-14,72096
2021-04-15,72226
2021-04-16,72355
2021-04-19,72830
2021-04-20,72953
2021-04-22,73211
2021-04-23,73323
2021-04-25,73646
2021-04-26,73809
2021-04-27,73928
2021-04-28,74049
2021-04-29,74234
2021-04-30,74345
2021-05-01,74505
2021-05-02,74644
2021-05-03,74804
2021-05-04,74949
2021-05-05,75070
2021-05-06,75220
2021-05-07,75343
2021-05-08,75490
2021-05-09,75636
2021-05-10,75220
2021-05-11,75942
2021-05-12,76111
2021-05-14,76284
2021-05-15,76388
2021-05-16,76530
2021-05-17,76656
2021-05-18,76783
2021-05-20,77135
2021-05-21,77273
2021-05-22,77451
2021-05-23,77632
2021-05-25,77818
2021-05-28,79396
2021-05-29,79586
2021-05-30,79726
2021-05-31,79880
2021-06-01,80053
2021-06-02,80274
2021-06-04,80444
2021-06-05,80573
2021-06-06,80696
2021-06-07,80851
2021-06-08,81072
2021-06-09,81243
2021-06-10,81429
2021-06-11,81588
2021-06-12,81741
2021-06-13,81888
2021-06-14,82064
2021-06-15,82253
2021-06-16,82420
2021-06-17,82627
2021-06-18,82798
2021-06-19,82993
2021-06-20,83164
2021-06-21,83289
2021-06-22,83470
2021-06-23,83582
2021-06-24,83767
2021-06-25,83941
2021-06-26,84147
2021-06-27,84328
2021-06-28,84484
2021-06-29,84662
2021-06-30,84831
2021-07-01,84959
2021-07-02,85070
2021-07-03,85259
2021-07-04,85431
2021-07-05,85586
2021-07-06,85768
2021-07-07,85940
2021-07-08,86123
2021-07-09,86317
2021-07-10,86491
2021-07-11,86638
2021-07-12,86802
2021-07-13,86974
2021-07-14,87156
2021-07-15,87317
2021-07-16,87490
2021-07-18,87834
2021-07-19,87990
2021-07-20,88170
2021-07-21,88446
2021-07-22,88641
2021-07-23,88788
2021-07-24,88941
2021-07-25,89099
2021-07-26,89425
2021-07-28,89573
2021-07-29,89727
2021-07-30,89878
2021-07-31,90032
2021-08-01,90199
2021-08-02,90382
2021-08-03,90560
2021-08-04,90766
2021-08-05,90936
2021-08-07,91321
2021-08-08,91478
2021-08-09,91899
2021-08-10,92015
2021-08-11,92132
